_id,admin0pcode,end_date,project_donor_id,project_donor_name,start_date
62189a2e5fe2c737c6aec4e5,ALL,,swedish_international_development_cooperation_agency,Swedish International Development Cooperation Agency,
62189a2e5fe2c737c6aec40f,ALL,,turkish_red_crescent,Turkish Red Crescent,
62189a2e5fe2c737c6aec411,ALL,,unfpa,UNFPA,
62189a2e5fe2c737c6aec412,ALL,,unhcr,UNHCR,
62189a2e5fe2c737c6aec413,ALL,,unicef,UNICEF,
62189a2e5fe2c737c6aec51a,ALL,,undp,United Nations Development Programme (UNDP),
62189a2e5fe2c737c6aec4e7,ALL,,us_ofda,United States Office of Foreign Disaster Assistance (OFDA),
62189a2e5fe2c737c6aec414,ALL,,unwomen,UNWOMEN,
62189a2e5fe2c737c6aec410,ALL,,usaid,USAID,
62189a2e5fe2c737c6aec415,ALL,,wfp,WFP,
62189a2e5fe2c737c6aec416,ALL,,who,WHO,
62189a2e5fe2c737c6aec417,ALL,,world_bank,World Bank,
62189a2e5fe2c737c6aec479,ALL,,un_habitat,UN Habitat,
62189a2e5fe2c737c6aec4f7,ALL,,fhi360,FHI 360,
62189a2e5fe2c737c6aec4e2,ALL,,royal_norwegian_embassy,Royal Norwegian Embassy,
62189a2e5fe2c737c6aec516,ALL,,sci,Save the Children,
