_id,cluster_id,stock_item_name
60c003008e856402218b5eb1,esnfi,ESNFI: Gas Cylinder
60c003008e856402218b5eb2,esnfi,ESNFI: Hand-held Saw
60c003008e856402218b5eb3,esnfi,ESNFI: Hoe (Iron with Wood Handle)
60c003008e856402218b5eb4,esnfi,ESNFI: Jerrycan
60c003008e856402218b5eb5,esnfi,ESNFI: Kindling
60c003008e856402218b5eb6,esnfi,ESNFI: Kitchen Set
60c003008e856402218b5eb7,esnfi,"ESNFI: Lights (Solar Lantern, Torch w/ Battery, Table Lamp)"
60c003008e856402218b5eb8,esnfi,ESNFI: Masons Bucket (15 Liters Reinforced)
60c003008e856402218b5eb9,esnfi,ESNFI: Matchbox
60c003008e856402218b5eba,esnfi,ESNFI: Nails
60c003008e856402218b5ebb,esnfi,ESNFI: Peeling Knife
60c003008e856402218b5ebc,esnfi,ESNFI: Pick Digger (with Wooden Handle)
60c003008e856402218b5ebd,esnfi,ESNFI: Plastering Trowel (10' with Wood Handle)
60c003008e856402218b5ebe,esnfi,ESNFI: Glass for Tea
60c003008e856402218b5ebf,esnfi,ESNFI: Plastic Rope (30m / 6-10 mm Diameter)
60c003008e856402218b5ec0,esnfi,ESNFI: Pump Spares (PVC Filter Pipe 6' Class D (26.28 KG))
60c003008e856402218b5ec1,esnfi,ESNFI: Pump Spares (PVC Pipe 63 MM Class E)
60c003008e856402218b5ec2,esnfi,ESNFI: Rope
60c003008e856402218b5ec3,esnfi,ESNFI: Plastic Mat
60c003008e856402218b5ec4,esnfi,ESNFI: Shovel (Iron with Wood Handle)
60c003008e856402218b5ec5,esnfi,ESNFI: Sisal Rope (100m)
60c003008e856402218b5ec6,esnfi,ESNFI: Sanitry Napkins
60c003008e856402218b5ec7,esnfi,ESNFI: Soap (Handwash)
60c003008e856402218b5ec8,esnfi,ESNFI: Spoon
60c003008e856402218b5ec9,esnfi,ESNFI: Tarpaulin
60c003008e856402218b5eca,esnfi,ESNFI: Wheelbarrow/Zambil
60c003008e856402218b5ecb,esnfi,ESNFI: Tea Pot
60c003008e856402218b5ecc,esnfi,ESNFI: Window
60c003008e856402218b5ecd,esnfi,ESNFI: Wood
60c003008e856402218b5ece,protection,Protection: Dignity Kit
60c003008e856402218b5ecf,fsac,FSAC: Cash
60c003008e856402218b5ed0,fsac,FSAC: Food Package
60c003008e856402218b5ed1,fsac,FSAC: Wheat
60c003008e856402218b5ed2,fsac,FSAC: Wheat Flour
60c003008e856402218b5ed3,fsac,FSAC: Oil
60c003008e856402218b5ed4,fsac,FSAC: Pulses
60c003008e856402218b5ed5,fsac,FSAC: Salt
60c003008e856402218b5ed6,fsac,FSAC: Rice
60c003008e856402218b5ed7,fsac,FSAC: Seed
60c003008e856402218b5ed8,fsac,FSAC: HEB
60c003008e856402218b5ed9,fsac,FSAC: RUSF
60c003008e856402218b5eda,fsac,FSAC: MNT
60c003008e856402218b5edb,fsac,FSAC: Other
60c003008e856402218b5edc,eiewg,EiEWG: Classroom Kits
60c003008e856402218b5edd,eiewg,EiEWG: EiE Kits
60c003008e856402218b5ede,eiewg,EiEWG: Recreational Kits
60c003008e856402218b5edf,eiewg,EiEWG: School in Box Kits
60c003008e856402218b5ee0,eiewg,EiEWG: Startup Kits
60c003008e856402218b5ee1,protection,Protection: Tent
60c003008e856402218b5ee2,eiewg,EiEWG: Student Bags
60c003008e856402218b5ee3,eiewg,EiEWG: Students Kits
60c003008e856402218b5ee4,eiewg,EiEWG: Top up Kits
60c003008e856402218b5ee5,eiewg,EiEWG: Text Books
60c003008e856402218b5ee6,eiewg,EiEWG: Teacher Kits
60c003008e856402218b5ee7,eiewg,EiEWG: Teching Kits
60c003008e856402218b5ee8,eiewg,EiEWG: Reading Kits
60c003008e856402218b5ee9,eiewg,EiEWG: Tents (72 sq.m)
60c003008e856402218b5eea,eiewg,EiEWG: Tents Other
60c003008e856402218b5eeb,esnfi,ESNFI in Cash
60c003008e856402218b5eec,esnfi,ESNFI Mixed (Cash+In-Kind)
60c003008e856402218b5eed,esnfi,ESNFI In-Kind
60c003008e856402218b5eee,esnfi,Partial ESNFI Kit
60c003008e856402218b5eef,esnfi,Cash for Shelter/Rent
60c003008e856402218b5ef0,esnfi,Emergency Shelter Repair Kits (Partial)
60c003008e856402218b5ef1,esnfi,Emergency Shelter Repair Kits (Full)
