_id,admin0pcode,cluster,cluster_id,details,remarks,stock_item_name,stock_item_type
60c003008e856402218b5eab,AF,ESNFI,esnfi,,,"ESNFI: Clothes for Men (e.g. socks, gloves, sweaters, hats)",esnfi_clothes_men
60c003008e856402218b5eac,AF,ESNFI,esnfi,,,ESNFI: Emergency Shelter Kit (2+1 items),esnfi_emergency_shelter_kit
60c003008e856402218b5ead,AF,ESNFI,esnfi,,,"ESNFI: Clothes for Women (e.g. socks, gloves, sweaters, hats)",esnfi_clothes_women
60c003008e856402218b5eae,AF,ESNFI,esnfi,,,ESNFI: Cooking Pot,esnfi_cooking_pot
60c003008e856402218b5eaf,AF,ESNFI,esnfi,,,ESNFI: Family Sized Tent,esnfi_family_sized_tent
60c003008e856402218b5eb0,AF,ESNFI,esnfi,,,ESNFI: Fuel Gel,esnfi_fuel_gel
60c003008e856402218b5eb1,AF,ESNFI,esnfi,,,ESNFI: Gas Cylinder,esnfi_gas
60c003008e856402218b5eb2,AF,ESNFI,esnfi,,,ESNFI: Hand-held Saw,esnfi_saw
60c003008e856402218b5eb3,AF,ESNFI,esnfi,,,ESNFI: Hoe (Iron with Wood Handle),esnfi_hoe
60c003008e856402218b5eb4,AF,ESNFI,esnfi,,,ESNFI: Jerrycan,esnfi_jerrycan
60c003008e856402218b5eb5,AF,ESNFI,esnfi,,,ESNFI: Kindling,esnfi_kindling
60c003008e856402218b5eb6,AF,ESNFI,esnfi,,,ESNFI: Kitchen Set,esnfi_kitchen_set
60c003008e856402218b5eb7,AF,ESNFI,esnfi,,,"ESNFI: Lights (Solar Lantern, Torch w/ Battery, Table Lamp)",esnfi_lights
60c003008e856402218b5eb8,AF,ESNFI,esnfi,,,ESNFI: Masons Bucket (15 Liters Reinforced),esnfi_bucket
60c003008e856402218b5eb9,AF,ESNFI,esnfi,,,ESNFI: Matchbox,esnfi_matchbox
60c003008e856402218b5eba,AF,ESNFI,esnfi,,,ESNFI: Nails,esnfi_nails
60c003008e856402218b5ebb,AF,ESNFI,esnfi,,,ESNFI: Peeling Knife,esnfi_peeling_knife
60c003008e856402218b5ebc,AF,ESNFI,esnfi,,,ESNFI: Pick Digger (with Wooden Handle),esnfi_digger
60c003008e856402218b5ebd,AF,ESNFI,esnfi,,,ESNFI: Plastering Trowel (10' with Wood Handle),esnfi_trowel
